,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2024-01-01 00:00:00,30.3,47.0,6.0,0.5,9.0,0.0,0,25,92,232
1,2024-01-01 01:00:00,37.7,65.0,5.0,0.41,5.0,0.0,0,25,93,272
2,2024-01-01 02:00:00,50.9,78.0,9.0,0.29,2.0,0.0,0,25,94,248
3,2024-01-01 03:00:00,45.1,66.0,9.0,,2.0,,0,25,93,269
4,2024-01-01 04:00:00,38.1,59.0,6.0,0.31,,0.0,0,25,93,272
5,2024-01-01 05:00:00,36.0,50.0,,0.41,4.0,0.0,0,24,94,260
6,2024-01-01 06:00:00,36.0,52.0,2.0,0.43,5.0,0.0,0,25,94,244
7,2024-01-01 07:00:00,34.9,58.0,4.0,0.5,6.0,0.0,0,25,92,313
8,2024-01-01 08:00:00,30.4,52.0,16.0,0.28,4.0,0.0,0,29,78,114
9,2024-01-01 09:00:00,25.8,54.0,21.0,0.19,3.0,0.0,1,30,72,145
10,2024-01-01 10:00:00,19.7,44.0,23.0,0.18,3.0,0.0,1,31,67,107
11,2024-01-01 11:00:00,14.1,41.0,27.0,0.18,3.0,0.0,1,32,60,91
12,2024-01-01 12:00:00,10.2,35.0,28.0,0.17,2.0,0.0,1,32,60,91
13,2024-01-01 13:00:00,7.4,30.0,26.0,0.17,2.0,0.0,1,32,61,90
14,2024-01-01 14:00:00,5.5,36.0,24.0,0.17,3.0,1.0,1,32,61,115
15,2024-01-01 15:00:00,4.2,28.0,24.0,0.16,2.0,0.0,1,31,63,138
16,2024-01-01 16:00:00,3.4,24.0,23.0,0.18,4.0,1.0,1,31,64,130
17,2024-01-01 17:00:00,2.9,30.0,20.0,0.23,6.0,1.0,1,30,70,128
18,2024-01-01 18:00:00,8.0,38.0,15.0,0.25,8.0,0.0,1,28,79,137
19,2024-01-01 19:00:00,7.4,37.0,13.0,0.33,10.0,0.0,0,27,81,140
20,2024-01-01 20:00:00,13.3,34.0,4.0,0.44,10.0,0.0,0,26,89,265
21,2024-01-01 21:00:00,17.9,38.0,5.0,0.41,10.0,0.0,0,26,89,292
22,2024-01-01 22:00:00,24.6,49.0,6.0,0.38,7.0,0.0,0,26,90,244
23,2024-01-01 23:00:00,33.4,65.0,5.0,0.33,5.0,0.0,0,25,91,290
24,2024-01-02 00:00:00,35.9,75.0,4.0,0.35,5.0,0.0,0,25,93,267
25,2024-01-02 01:00:00,30.7,63.0,1.0,0.37,4.0,0.0,0,25,93,252
